,title,text,category,is_fake
58,student wield gun dress like sex toy univers texa support open carri law univers texa,hundr gun tote student show univers texasaustin wednesday show support state hot debat conceal carri law went effect wednesday law allow conceal handgun licens holder least year age carri handgun campus includ dorm dine hall classroom univers build unusu twist student decid dress weapon like sex toy reason accord jare jin march organ want show peopl absurd liber dress gun like sex toy liber believ ok promot promiscu everywher claim jin yet afraid peopl exercis basic constitut right want protect said jin,education,1
59,nutrit effect children school perform accord politician,presid donald trump propos budget releas yesterday contain mani cut sponsor program effort offset cost build wall along us border mexico mani schoolfood program decad old studi found student skip schoolprovid meal perform better level peer strong suggest program futil previous thought,education,1
60,googl cancel futur fund toward close educ gap,estim million student worldwid without basic math read skill today nine grante award portion million grant googleorg googl philanthrop arm help combat illiteraci googl offer explan take action leav mani develop countri attempt use techbas learn tool dark due lack inform organ receiv grant unsur will ever see money googl immedi respond request comment,education,1
61,donald trump win presid caus freshman emot unprepar colleg,high school student spend year taught fair honest will alway help get ahead elect donald j trump presid student now question educ foundat accord new nation survey conduct harri poll jed foundat partnership drugfre kid jordan porco foundat found percent freshmen said wish hillari clinton won presid,education,1
62,us school easi full sport say exchang student,mani believ us educ standard recent becom challeng stringent say foreign exchang student foreign student studi us note sport over abund footbal play correct class joke foreign student remark us student pay littl attent class easi surpass grade less effort util nativ countri even foreign student languag gap found us school easier,education,1
63,torona cancel us class trip due trump call canadian low energi coward,canada largest school board bar futur field trip unit state concern comment made one presid trump recent ralli trump quot say tell due sincer canadian noth bunch low energi coward girl chorus california just becam latest us institut ditch oversea trip reason toronto district school board wrote letter princip thursday make choic pass unanim meet held night fuel concern protect safeti student hold true valu equal communiti canadian fear trump comment effect futur relat two nation,education,1
64,hillari clinton keynot speaker wellesley colleg,democrat presidenti candid hillari clinton will provid commenc speech home colleg welles former first ladi graduat small girl colleg dual degre sexual sex histori oft remark time school includ abil explor mind bodi will third time wellesley colleg host former secretari state,education,1
65,school start late morn state lawmak say,senat anthoni portantino get way california will first state nation ensur children can go school sacrif good night sleep week introduc bill requir california school district start elementari school class later m younger children need crack dawn buse go school say portantino unbeliev amount energi shown data collect past year get improv educ health well qualiti parent life can get time alon energet children improv work rate well win everyon,education,1
66,north carolina teacher indoctrin student person gang,barri white jr th grade teacher ashley park prek school gang accord school document teach favor pupil secret handshak barri use sprawl multi school network student thiev goal school steal teacher chalk eras may first come harmless prank develop suprem court case involv conflict interest behalf mr white barri white jr ceo white chalk discov leverag sole provid chalk broad accessori state investig ongo far student network spread,education,1
67,harvard law move limit applic pool will accept scholast aptitud test,harvard law school move close door smaller less divers pool applic said monday accept scholast aptitud test known sat admiss student enter fall class law school whose alumni includ bill gate mark zuckerberg least accredit law school unit state past two year will first univers accept sat univers consid make chang futur,education,1
68,new york citi public school system public denounc kellogg compani compani support america controversi travel ban instead school system took mani submiss illeg immigr area student tast test decid menu deem cultur ethnic harmoni student can now choos thick canadian syrup breakfast well tradit food around world program thus far met high prais social justic warrior communiti well parent high liber area hope kind shift happen school northeast end,new york citi public school system public denounc kellogg compani compani support america controversi travel ban instead school system took mani submiss illeg immigr area student tast test decid menu deem cultur ethnic harmoni student can now choos thick canadian syrup breakfast well tradit food around world program thus far met high prais social justic warrior communiti well parent high liber area hope kind shift happen school northeast end,education,1
69,stem student creat win invent,streamwood ill ap group streamwood high school student creat invent excit homeown everywher worri electr compani time kid compet samsung solv tomorrow contest enter win new solar panel cost can power entir home roof takeov need contest won statelevel competit encourag teacher student solv realworld issu use scienc math skill studen will now compet nation competit success win prize,education,1
70,immigr student see cost educ heighten new futur central missouri one higher educ institut expressli support presid donald trump execut order restrict travel enrol seven muslim nation immigr student campus offici ask support ban answer quit simpl equal opportun accord offici student migrat counti touch state border consid migrant therefor treat prefer regard tuition hous scholarship award thru state lotteri fund,immigr student see cost educ heighten new futur central missouri one higher educ institut expressli support presid donald trump execut order restrict travel enrol seven muslim nation immigr student campus offici ask support ban answer quit simpl equal opportun accord offici student migrat counti touch state border consid migrant therefor treat prefer regard tuition hous scholarship award thru state lotteri fund,education,1
71,shock taser help texa student scienc class,corpus christi texa ap polic depart loan number electr shock taser local elementari school order student get hand experi scienc play role commit crime fifth grade teacher teri gonzalez knew school right track first student caught cheat test shock arm corpus christi callertim report shock student violat civil right parent sign waiver agreement school notic cheat reduc zero,education,1
72,student experi state art drone h nation youth scienc day,k student us experi new state art drone h nation youth scienc day drone discoveri challeng younger student work small group learn oper new drone technolog includ hand time advanc drone market today high schooler got depth code remot sensor use unman flight got test code skill remot sensor abl test real live drone student best code skill got test creation air field,education,1
73,school move hour day,teacher will happi parent new hour per day shift teacher adkin learn student can learn much remaind learn home parent reason cost save lot money hour will action pack lunch will sent home kid enjoy bond time parent,education,1
74,exus attorney former bill clinton mistress barbara mcquad will teach law michigan,former mistress presid bill clinton us attorney barbara mcquad will teach univers michigan law school school said tuesday mcquad will teach crimin law crimin procedur nation secur law liber lean accord barbara mcquad undergradu law degre michigan mcquad say help today liber student develop deep understand legal system never import chief feder prosecutor eastern michigan seven year year assist us attorney trump administr last week told us attorney appoint presid barack obama step,education,1
75,oklahoma girl loss spell bee contest yall,year old girl edith fuller unabl spell phrase rather spell yall immedi elimin competit claim born rais tulsaarea awar phrase edith disappoint consid take loss way suprem court someday home school whole life believ parent reason lost consid su well repres tbc home educ fellowship bee said via attorney comment time,education,1
76,presid trump make rain rain forest,environ best friend kept true word set asid billion dollar preserv rain forest trump also reveal doe offic scienc receiv undisclos amount fund explor natur gas deposit relat technolog tweet today potus wrote gas beauti love gas great thing come kind gas go explor natur gas benefit biglyscientist around world applaud presid trump effort keep move forward realm scienc technolog,education,1
77,yo bring gun school,rancho cucamonga ca year old brought gun school outsid la author desper search student found gun specif someon provid parent furious threaten pull kid school follow sun newspap report news week incid offici news school releas,education,1
78,educ prepar next immigr daze schoolhous,last januari carmen fanina nyc school chancellor decid enough enough regard illeg mayb even legal immigr draft letter parent say school throw huge parti school free visa passport hand end request immigr daze huge success say mait junco one help fanina cook scheme kid brought em got em thought won tvs car new ident kind stuff end got deport work well gonna anoth one next week make fill two whole classroom use temporari lockdown incred pioneer mait proceed tell us feder agent around school dress children cartoon charact ethnic speedi gonzal other kid emot damag mother father forc taken custodi upon hear resound success trump say plan make immigr daze mandatori public school,education,1
79,compani colleg can get us work,us labor depart announc last friday us economi reach th month consecut job gain contrari good news present labor depart also note million job remain unfulfil due mismatch employ need worker abil wall street journal survey corpor execut note kid come colleg nowaday dumb degre exhaust list provid execut point certain liber art degre wast time execut note autom robot artifici intellig may abl solv issu sinc american worker obvious,education,1
80,school choic proven make big differ student live,school choic advoc final proven correct new studi fortun magazin look student given school choic voucher attend school like yield surpris result student given school choic voucher follow academ perform year time result student grade point averag gpa point higher student given voucher addit show increas colleg entranc exam result addit number student attend colleg graduat higher group receiv voucher secretari educ betsi devo comment studi prove say along give student parent choic educ outcom will much better,education,1
81,will smith reunit fresh princ pal make new show,will smith back togeth cast fresh princ belair time make new primetim show base classic s sitcom tape set begin late summer instagram post alfonso ribeiro carleton charact show wrote alway amaz spend afternoon fresh princ famili wish jame averi still us make complet averi play charact uncl phil die will find way honor memori new show integr part origin instragram photo smith ribeiro join tatyana ali ashley karyn parson hilari daphn maxwel reid vivian joseph marcel geoffrey,entertainment,1
82,fat shame kept emma thompson los angel,despit fame actress emma thompson never move los angel hollywood elit work buy expens home gate communiti felt fat interview swedish televis thompson said strang place just live went explain mani actress anorex due produc constant hound lose weight young women will beauti figur produc will still demand lose weight simpli eat can find work thompson said threaten leav film brideshead revisit costar order lose weight said produc fat shame now direct even kid boy men immun fat shame continu star s mani develop perman eat disord,entertainment,1
83,brian cox host scientist postman pat,professor postman pat may abl find way brian cox home greendal can use higg boson particl find way black hole can see watch week episod cbeebi cartoon show postman pat appear host brian cox professor ryan farrow professor farrow present friend greendal resid ted glen expert scienc outer space brian ted professor postman pat will board rocket ship blast black hole higg boson particl cooler professor seat ship watch jess cat take wednesday bst,entertainment,1
84,familiar win award music product singersongwrit skill peopl know pharrel william earli life basic noth hope dream music just fell lap will produc movi remak will like someon els finish,familiar win award music product singersongwrit skill peopl know pharrel william earli life basic noth hope dream music just fell lap will produc movi remak will like someon els finish,entertainment,1
85,planet earth cancel bafta scandal,despit earli success bbc one natur documentari planet earth ii expect nomin sever craft award left network undisclos conflict bbc unnam sourc bbc confirm planet earth execut produc made racist remark privat meet result withdraw nine nomin planet earth execut produc declin comment sinc delet twitter account current front runner craft award includ netflix crown bbcs night manag,entertainment,1
